File ,Law Number,Type,Status,Committee,Prime Sponsor,Council Member Sponsors,Title
Res 0833-2023,,Resolution,Filed (End of Session),Committee on Immigration,Diana I. Ayala,4,"Resolution calling on the United States Congress to pass and the President to sign legislation including wage theft as a qualifying crime for a U-Visa and removing the 10,000 yearly cap on U-Visas."
Res 0836-2023,,Resolution,Filed (End of Session),"Committee on Cultural Affairs, Libraries and International Intergroup Relations",Shahana K. Hanif,7,Resolution acknowledging July 18 through August 17 as South Asian Heritage Month annually in the City of New York and celebrating the contributions made by New Yorkers of South Asian heritage to our multicultural neighborhoods.
Int 1235-2023,,Introduction,Filed (End of Session),Committee on Health,Tiffany Cabá,17,A Local Law in relation to requiring the department of health and mental hygiene to conduct a community needs assessment to identify needs and gaps in services for people experiencing long COVID
Int 1233-2023,,Introduction,Filed (End of Session),Committee on Finance,Justin L. Brannan,2,"A Local Law to amend the administrative code of the city of New York, in relation to adjudication of liability imposed upon owners pursuant to section 1180-e of the vehicle and traffic law"
Int 1238-2023,,Introduction,Filed (End of Session),Committee on Aging,Crystal Hudson,11,"A Local Law to amend the administrative code of the city of New York, in relation to establishing a grab-and-go meal program at older adult centers"
Int 1234-2023,,Introduction,Filed (End of Session),Committee on Technology,Justin L. Brannan,3,A Local Law in relation to an assessment of a cloud-first policy for city technology systems
T2023-4261,,Oversight,Filed,Committee on Governmental Operations,,0,"Oversight - Media Transparency: NYPD Radio Encryption, Press Credentials Process, and Government Social Media Archiving."
T2023-4260,,Oversight,Filed,Committee on Technology,,0,"Oversight - Media Transparency: NYPD Radio Encryption, Press Credentials Process, and Government Social Media Archiving."
T2023-4259,,Oversight,Filed,Committee on Public Safety,,0,"Oversight - Media Transparency: NYPD Radio Encryption, Press Credentials Process, and Government Social Media Archiving."
T2023-4256,,Oversight,Filed,Committee on Education,,0,Oversight - Immigrant Students in New York City Public Schools.
T2023-4255,,Oversight,Filed,Committee on Immigration,,0,Oversight - Immigrant Students in New York City Public Schools.
T2023-4253,,Oversight,Filed,Committee on State and Federal Legislation,,0,Oversight - New Phonics Based Curriculum and Dyslexia Screening in NYC Public Schools.
T2023-4252,,Oversight,Filed,Committee on Education,,0,Oversight - New Phonics Based Curriculum and Dyslexia Screening in NYC Public Schools.
LU 0287-2023,,Land Use Application,Adopted,Committee on Finance,Justin L. Brannan,1,"WHGA Dunbar HDFC.HPO.FY24, Block 2035, Lot 1, Manhattan, Community District 10, Council District No. 9."
LU 0286-2023,,Land Use Application,Adopted,Committee on Finance,Justin L. Brannan,1,"Parkview Apartments, Block 2940, Lots 1, 6, and 72, Bronx, Community District 3, Council District No. 17."
T2023-4238,,Oversight,Filed,Committee on Technology,,0,"Oversight - Online harassment against women, girls, and gender expansive people."
T2023-4237,,Oversight,Filed,Committee on Women and Gender Equity,,0,"Oversight - Online harassment against women, girls, and gender expansive people."
T2023-4226,,Oversight,Filed,"Committee on Cultural Affairs, Libraries and International Intergroup Relations",,0,Oversight - Arts and Cultural Organizations’ Outreach into New York City Communitie
T2023-4223,,Oversight,Filed,Committee on Health,,0,Oversight - Rat Mitigation and Public Health.
T2023-4222,,Oversight,Filed,Committee on Sanitation and Solid Waste Management,,0,Oversight - Rat Mitigation and Public Health.
T2023-4217,,Oversight,Filed,Committee on Veterans,,0,Oversight - Supportive Housing in New York City.
T2023-4216,,Oversight,Filed,"Committee on Mental Health, Disabilities and Addiction",,0,Oversight - Supportive Housing in New York City.
T2023-4215,,Oversight,Filed,Committee on General Welfare,,0,Oversight - Supportive Housing in New York City.
Res 0832-2023,,Resolution,Adopted,"Committee on Rules, Privileges and Elections",Keith Powers,1,RESOLUTION APPROVING THE APPOINTMENT BY THE BRONX BOROUGH PRESIDENT OF ORLANDO MARIN AS A MEMBER OF THE NEW YORK CITY PLANNING COMMISSION (M. 0179-2023).
Res 0831-2023,,Resolution,Adopted,"Committee on Rules, Privileges and Elections",Keith Powers,1,RESOLUTION APPROVING THE APPOINTMENT BY THE MAYOR OF LISA URBAN AS A MEMBER OF THE NEW YORK CITY ENVIRONMENTAL CONTROL BOARD (M. 0178-2023).
Res 0830-2023,,Resolution,Adopted,"Committee on Rules, Privileges and Elections",Keith Powers,1,RESOLUTION APPROVING THE APPOINTMENT BY THE MAYOR OF GARY BRISTOL AS A MEMBER OF THE NEW YORK CITY TAX COMMISSION (M. 177-2023).
Res 0829-2023,,Resolution,Adopted,"Committee on Rules, Privileges and Elections",Keith Powers,1,RESOLUTION APPROVING THE APPOINTMENT BY THE MAYOR OF BENNETT MINKO AS A MEMBER OF THE NEW YORK CITY TAX COMMISSION (M. 176-2023).
Res 0828-2023,,Resolution,Adopted,"Committee on Rules, Privileges and Elections",Keith Powers,1,RESOLUTION APPROVING THE APPOINTMENT BY THE MAYOR OF JOHN HEESEMANN AS A MEMBER OF THE NEW YORK CITY TAX COMMISSION (M. 175-2023).
Int 1224-2023,,Introduction,Filed (End of Session),Committee on Technology,Robert F. Holden,5,"A Local Law to amend the administrative code of the city of New York, in relation to requiring the 311 customer service center to indicate that an agency is unable to respond to a service request or complaint and implement protocols providing proof of action"
Int 1227-2023,,Introduction,Filed (End of Session),Committee on Transportation and Infrastructure,Rita C. Joseph,3,"A Local Law to amend the administrative code of the city of New York, in relation to the establishment of a parking enforcement unit within the department of transportation"
Res 0818-2023,,Resolution,Filed (End of Session),Committee on Transportation and Infrastructure,Carlina Rivera,6,"Resolution calling on the New York State Legislature to pass, and the New York State Governor to sign, S.7647/A.8029, which directs the Metropolitan Transportation Authority and the New York City Transit Authority to rename the 23rd Street Subway Station to the 23rd Street Baruch College Station."
Int 1228-2023,,Introduction,Filed (End of Session),Committee on Health,Mercedes Narcisse,3,"A Local Law to amend the administrative code of the city of New York, in relation to requiring the department of health and mental hygiene to develop educational materials regarding marijuana, for distribution to youth services programs and students"
Res 0820-2023,,Resolution,Filed (End of Session),Committee on Education,Julie Won,9,"Resolution calling on the New York State Legislature to pass, and the Governor to sign, S.1037/A.423 to require public schools to obtain prior written consent from parents or eligible students before releasing their personal information to third party contractors."
Res 0816-2023,,Resolution,Filed (End of Session),Committee on Sanitation and Solid Waste Management,Sandy Nurse,6,"Resolution calling upon the New York State Legislature to pass, and the Governor to sign S.643-C /A.7339-A, an act to amend the environmental conservation law, in relation to extended producer responsibility for rechargeable batteries."
Res 0813-2023,,Resolution,Adopted,"Committee on Cultural Affairs, Libraries and International Intergroup Relations",Amanda Faría,15,Resolution recognizing April 13 annually as Borinqueneers Day in the City of New York in honor of the courage and wartime contributions of the U.S. Army’s 65th Infantry Regiment and their lasting legac
Int 1232-2023,,Introduction,Filed (End of Session),Committee on Public Safety,Nantasha M. Williams,5,"A Local Law to amend the New York city charter, in relation to offering community service in lieu of civil penalties for certain littering violations"
Int 1223-2023,,Introduction,Filed (End of Session),Committee on Technology,Jennifer Gutiérre,5,"A Local Law to amend the New York city charter and the administrative code of the city of New York, in relation to establishing an office of algorithmic data integrity"
Int 1222-2023,,Introduction,Filed (End of Session),Committee on Civil Service and Labor,Carmen N. De La Rosa,8,"A Local Law to amend the administrative code of the city of New York, in relation to civil service examination fee waivers"
Res 0814-2023,,Resolution,Filed (End of Session),Committee on Health,Julie Menin,9,"Resolution calling on the New York State Legislature to pass, and the Governor to sign, legislation to increase Medicaid reimbursement to cover eight pre- and post-natal visits, as well as delivery support by doulas."
Int 1230-2023,,Introduction,Filed (End of Session),Committee on Health,Sandra Ung,3,"A Local Law to amend the administrative code of the city of New York, in relation to prohibiting smoking on sidewalks immediately adjoining parks, imposing civil penalties for violating such prohibition, and increasing civil penalties for smoking in parks"
Int 1231-2023,,Introduction,Filed (End of Session),Committee on Consumer and Worker Protection,Nantasha M. Williams,2,"A Local Law to amend the administrative code of the city of New York, in relation to the licensing of tire shops"
Res 0815-2023,,Resolution,Filed (End of Session),Committee on Small Business,Julie Menin,2,"Resolution calling on the United States Congress to pass, and the President to sign, H.R. 4756-118th Congress, known as the Community News and Small Business Support Act."
Int 1220-2023,,Introduction,Filed (End of Session),Committee on Consumer and Worker Protection,Gale A. Brewer,3,"A Local Law to amend the administrative code of the city of New York, in relation to creating licensing requirements for electric bicycle or scooter businesses"
